Killer name,Sex,Race,Number of victims,Date of birth,Birth order,Physically attractive?,Physical defect?,Speech defect?,Physically abused? ,Psychologically abused?,Sexually abused?Animal torture,Fire setting,Bed wetting,Abused drugs?,Abused alcohol?,Been to a psychologist (prior to killing)?,Time in forensic hospital (prior to killing)?,Diagnosis,Rape?,Tortured victims?,Overkill?,Quick & efficient?,Used blindfold?,Bound the victims?,Sex with the body?,Mutilated body?,Ate part of the body?,Drank victim’s blood?,Posed the body?,Took totem – body part,Took totem – personal item,Robbed victim or location,"Left at scene, no attempt to hide","Left at scene, hidden","Left at scene, buried","Moved, no attempt to hide","Moved, buried",Cut-op and disposed of,"Moved, too home"
Rader_Dennis_-_2005,Male,White,~10,3-9-45,First of four boys,Symmetrical,Unknown – none visible,Unknown,,Unknown,,Unknown,Unknown,Unknown,Unknown,,,Unknown,No,Yes,No,Yes,Yes; hood,Yes,No,No,No,No,Yes,No,Yes; including jewelry,No,Yes,No,No,"No; did possibly dispose of two victims on nearby dirt roads or underbridges",No,No,
Hickey_Frank__fall_2007_,Male,White,3,October 29,3 of 3,somewhat,no,no,,No,,N/A,N/A,N/A,yes,,,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Second killing he strangled the boy in an outhouse anddisposed of the body in a latrine",Second killing hid the boy in a latrine,no,No attempt to hide 2 of the victims,No,No,No
Brudos_Jerome,Male,White,Convicted of 3,January,2nd of 2,No,No,No,,Yes,,No,No,,,,,Borderline Schizophrenic,Yes- typically post mortem,No,,Yes,No,No,Yes,Yes,No,No,Yes,Yes- example foot and breasts,Yes- shoes and undergarments,Not of money but he stole their clothing,No,No,?,No,No,"Yes- mutilated many and disposed of them by sinking them inbodies of water",No
Rhodes_Robert_Ben__spring_2007_,Male,White,4,November 22,2nd out of 4,Not attractive,,,,,,,,,,,,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,When he took victims,No,Yes,No,No,Yes,No,Yes,No,No,No
Carpenter_David_-_fall_2005,Male,White,10,05/06/30,2nd of 3,No,No,Yes,,Yes,,No,Yes,Yes,No,,,Sociopathic personality disorder,Raped four victims and attempted to rape another,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Stole vehicle.,Yes.  Six victims were simply left where they fell dead.,No,No,No,"Yes.  Four victims were found in shallow graves not far from where hekilled them.",,No
Gallego_Gerald_-_2005,Male,White,10,July 17,1,Somewhat attractive,Birthmark on face,,,,,No,No,Smoked pot and did cocaine,Alcohol abuse,,,,"Yes-every female victims was raped; he was in search of the“perfect sex slave”",Yes-would bite victims,,Yes,,Yes,No,No,No,No,No,No,No,No,Yes-but only one,,,,Yes,,
Hansen_Robert_-_fall_2005,Male,White,17,February 15,First - only child,No,Severe acne,Yes-stuttering,,Father strict,,Yes,No,No,No,,,"Bipolar-effective disorder (diagnosis made by psychiatristwhen Hansen was arrested for stealing a chainsaw)",Yes; had women perform oral sex on him,Yes- handcuffed,No,Yes,Yes -ace bandages,Yes - handcuffed,No,No,No,No,No,No,Business cards,Took personal items from victims,Sometimes,Threw in lake and weighed down with gravel,Yes- buried majority of victims,No,Yes,,
Buenoano_Judias_-_fall_2005,,White,3 murders and one attempted murder,April 4,3rd of 4,No,No,No,,No,,Yes; own home,No,No,Suspected alcohol use,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,
Stanko_Stephen,Male,White,,1/13/1968,2nd of 5,People thought so – he was charming,No,No,,No,,No,No,No,No,No,No,,Yes for the teen daughter,No,Yes – Laura Ling was overly beaten,No,No,Yes,No,No,No,No,No,No,Yes – Bracelet,Yes -  took money and a few other items like a car,Yes,No,No,Yes – behind bed but not in an attempt to hide,No,No,
Hall_Larry_DeWayne,Male,White,4 Admitted,12/11/1962,2nd born out of twins,No,No,Yes,,Yes at school,,Yes,Yes,No,No,Yes,,Anxiety and Depression,Yes,Yes,Yes,Yes and No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
Jones_Genene__fall_2006_,Female,White,11-46,July 13,Adopted,Not as a child,Overweight as a child,No,,(not found),,No,No,(not found),(not found),,,Munchausen Syndrome by Proxy,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,
Johnson_Vincent__fall_2006_,Male,African American,5-6,January 6,,,,,,,,,,Yes. Crack addict.,,,,,"Had sex with at least three of his victims before he killedthem.",,,,,Yes,Admitted to having sex with at least one of the bodies.,,,,,,,,Victims found nude or partially clothed,,,,,,
Buono_Angelo,Male,White,10,October 5,"1st of ?(some sources report that Angelo had 2 sisters",Yes,No,No,,Unknown,,Unknown,Unknown,No,No,,,Sexual sadism,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes – once murdered,No,,
Sanchez_Altemio,Male,"White; (51% European; 30% Native American; 13% Sub-Saharan African; 6% East Asian)",Murdered 3 females; raped between 11-14 others,January 19,"The last born (4th); 3 older siblings under the age of 4; 2 oldersisters and an older brother",Yes; community thought of him as a very easy-going,No.,Has an accent; no speech defect,,"Mother told him he was a mistake and he should not havebeen born; she even tried to overdose on medication in orderto terminate the pregnancy",,,,No,No,,,,"Yes; Sanchez was not successful in raping his last murdervictim","Yes; he would rape then strangle with ligature to controlconsciousness; also used duct tape to cover mouth andnostrils.",,"Not really; would rape the victim and strangle to controlconsciousness (strangle and/or suffocate); although","Yes; the women were forced to use their own clothing (shortsor shirt) to cover their eyes; Sanchez would demand this sothe victim would not be able to recognize him.",No; controlled them with the ligature,No,No,No,No,"No; he would leave the victim’s body half-naked and pants orunderwear scrunched up on one leg.  Most often withclothing (t-shirt) covering head.  In Mazur’s case (2nd murdervictim)",No,No; although,No,Yes; regarding his first murder,No,No,No,Yes; regarding Sanchez’s second murder victim,No,No
Bonin_William_-_fall_2007,Male,White,As many as 30,January 8,1st of 2,No,,,,Neglected by parents,,Unknown,Unknown,Unknown,Unknown,,,Manic depressive disorder,Yes,Yes,Yes,No because he raped,Possibly,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
Gunness_Belle,Female,White,16 further plus 12 possible equals 28,November-11-1859,Unknown,No,No,No,,No,,Yes,No,No,No,No,No,,No,No,No,Yes,No,No,No,Dismembered,No,No,No,No,No,Took their money,No,No,No,No,Yes,Dismembered and buried in the yard,No
Dolezal_Frank,Male,White,12 suspected,05/04/1887,Unknown,To some,Wondering Eye,None,,Unknown,,No,No,No,Yes,Unknown,Unknown,N/A,No,No,Yes,Unknown,Unknown,Unknown,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,
Daveggio_James__fall_2007_,Male,White,At least 17 rape victims; killed at least four,July 27,2nd of 3,Not bad looking; fairly attractive,No,Yes,,No,,No,No,Yes,Yes,,,Unknown,Yes,Yes,No,Yes,No,Yes – the van had restraints to hold the victims,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Hilton_Gary_Michael,Male,White,2 convicted of,11/26/1946,Only child,Yes,None,Excited speech,,Mental abuse from his step-father Debag,,Unknown,Unknown,Yes,Yes,Yes,After he shot his stepfather,Schizophrenia,Raped Emerson,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,,
Hahn_Anna_Marie__fall_2007_,Female,White,Estimated 5 victims,July 7,12 of 12,Short blonde hair,No,No,,?,,?,?,Yes,No,,,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,
Klenner_Frederick__2012_,Male,White,8,July 11,3rd of 3,Yes,No,No,,No,,,,,,,,,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Jewelry,No,Yes,No,No,No,No,No,
Ramirez_Richard__spring_2007_,Male,Hispanic,Convicted of 13,February 29,5th,Until he began to,Diagnosed with Temporal Lobe Epilepsy,No,,No,,No,No,Yes,Yes,,,"No noted diagnosis of mental or physical disorders. Howeversince he was a child he suffered from seizures.",Yes,Yes,Yes,Sometimes,No,Yes,Sometimes,Sometimes,No,No,No,No,No,Generally took anything valuable from the home to pawn,Yes,No,No,No,No,No,No
Chase_Richard_-_fall_2005,"but was impotent",,6,May 23,1st of 2,No,Impotence,No,,Yes- constant bickering,,Yes,Yes- consistently until age 8,Yes- Marijuana,Yes,,,Paranoid schizophrenia,Yes - sodomized Evelyn Miroth after killing,Yes,Yes,No,No,No,Yes-  raped and sodomized Evelyn Miroth,Yes,Yes,Yes,No,Yes- baby David,Yes- Meredith’s keys and wallet,Yes,Yes,No,Yes- several animals,Yes- within victim’s location (house,Yes,Yes,Yes- took baby David back to apartment
Corll_Dean_-_fall_2005,Male,White,27,December 24,1st of 2,Average looking,Heart murmur,No,,Father resorted to harsh punishments,,No,No,Yes,Yes,,,N/A,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Chewed on penis of a victim,No,No,No,No,No,No,No,No,No,Yes,No,No
Ray_David_Parker,Male,White,14,November 6,1st of 2,Said to be a handsome teenager,No,No,,,,No,No,Yes,Yes,,,Paraphilia (psycho-sexual disorder),Yes,Yes,Yes,No,Yes,Yes,,Yes,,,,,,,No,Yes,Yes,No,Yes,Yes,No
Berdella_Robert,Male,White,6 killed,January 31,1st of 2,No,Severe near sidedness,Yes,,Yes,,No record,No record,Yes,Yes,,,N/A,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Not usually,No,Not usually,No,No,Yes,N/A
Roth_Randy_-_2005,Male,White,2,December 26th,1st of 5,Yes,No,No,,Unknown,,"Assumed to have started truck fire @ plant & possiblytorched Jan’s Pinto to collect insurance",Unknown,No,No,,,N/A,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Malvo_Lee_Boyd_-_2005,Male,African-American,13 dead,February 18,2nd,Yes,No,A Jamaican accent,,No parental stability,,No,No,No,No,,,Brainwashing by John Muhammad,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Baumeister_Herb_-_fall_2005,Male,White,16 identified to him expected to be more,April 7,1st of 4,Yes,Two screws in jaw from surgery,No,,,,No,No,Yes. Cocaine and marijuana.,Yes,,,"Father secretly took him to psychologist as a child and hadlengthy testing done. Report showed schizophrenia andpossibly multiple personalities. No further documentation.",No. Mutual Sex.,Strangled them.,Burned them after death.,No,No,Yes. With handcuffs.,No,No,No,No,No,No,No,No,Yes. Used bones as gravel for his yard.,Yes. Put bones down a creek at his residence.,Yes. Buried in burn pile.,No,No,No,No
Bianchi_Kenneth,Male,White,"12 (the last two murders were carried out solely by KennethBianchi",May 22 1951,Only Child,Yes,No,No,,There is a possibility that he was mentally abused,,No,No,No,No,,,Petit mal syndrome,Yes,,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes – once murdered,No,No,No
Rifkin_Joel_-_2005,Male,White,Admitted to 17,January 20,First,No,Slouched and walked slow,Dyslexia,,Yes,,No,No,No,No,,,N/A,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
Spangler_Robert,Male,White,4 confirmed,01/10/1933,Adopted,,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Christie_Jon__2008_spring_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole_Carroll_-_2005,Male,White,13 substantiated (could be as many as 35),May 9th ,2nd of 3,Yes,No,No,,Yes,,Yes,No,No,Yes,,,Diagnosed/re-diagnosed numerous times as Anti-social,No,No,No,Yes,No,No,Some victims,Allegedly,Allegedly,No,No,No,No,No,Some victims,Some victims,Some victims (allegedly),No,Some victims (allegedly),Some victims (allegedly),No
Dahmer_Jeffrey_-_2004,Male,White,16,5/21/60,1st of 2,Above average,No,No,,Parents divorce,,No,No,No,Yes,,,,No,Not usually,Yes,Yes,NA,Sometimes,Yes,Yes,Yes,Tried it once,Yes,Yes,NA,No,No,Yes,1st victim,No,No,Yes,Killed and kept at home
Gein_Ed,Male,White,7 (Confessed to 2,August 27,2nd of  2,No,Yes,Yes,,Yes,,,,,,,,,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,,No,No,No,No,,Yes
Gallego_Charlene_Williams,,,10,,,,,,,,,No,No,Yes,Yes,No,,None prior,All female victims were raped,Victims breasts and buttocks were bitten,,No,No,Yes,No,No,No,,No,No,Only money,yes,No,Yes,Yes,,Yes,No,No
Copeland_Ray__spring_2006_,Male,White,"5 that were found but twelve names all together had X’s bythem and others were all missing",?-?-1914,2nd  of 5,No,No,No,,No,,No,No,No,Unknown,,,None,No,No,No,Yes shot in back of the head,No,No,No,No,No,No,No,No,Had their clothing (was made into a quilt),Would take clothing which Faye made quilt out of,No,No,"Yes crime scene was his home and he would bury the bodiesthroughout his home",No,No,No,"All in separate places throughout their farm or barns that Raywas known to use"
Corbett_Tammy_-_spring_2006,Female,White,3,10/2/1965,Oldest,Average,No,No,,No,,No,No,No,Yes,,,Personality Disorders,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,
Powers_Harry,Male,White,About 50 suspected,November 17th,3rd of 4 (2nd and 4th passed away as babies),Unattractive,Pig eyed,No,,Maybe,,"Broke into the home of Rose and Thomas early becausehe was angry that he had not gained her affection and hadmarried someone else. He tried to burn down the house tocover the burglary",No mention of bedwetting,No mention of drug abuse,No mention of abusing alcohol,No,None,None,No – not entirely sure though.,Yes – gassed victims,No,No,No,Yes,Not with victims but got aroused by the torture,Beat with hammer,No,No,No,No,Yes – kept a lot of personal items from the victims,Yes – took possessions and sold homes,No,Buried in ditch next to garage on his land,Buried in ditch next to garage on his land,No,Buried in ditch next to garage on his land,No,
Alcala__Rodney__2012_,Male,White,8,8-23-1943,Third child,Yes,No,No,,No,,No,No,Yes,N/A,Yes,Yes,Antisocial personality disorder,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,
Rolling_Danny_-_2004,Male,White,5,May 26,1st of 2,Yes,No,No,,Yes,,No evidence,No evidence,Yes,Yes,,,Severe personality disorder,Yes,Yes,Yes,No,Sometimes,Yes,Sometimes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Jaspers_Virginia__2008_spring__doc,Female,White,3 known mortalities,-------1924,1st,"No.  Looked ""male.""  Tall",No.,No.  Loud and socially awkward at times,,Teased by peers at school.,,unknown,unknown,unknown,unknown,,,unknown,No,No,No,No- Victims did not always die instantly.,No,No,No,No,No,No,No,No,No,No,Left at scene - did not attempt to hide the bodies.,No,No,No,No,No,No
Puente_Dorothea_-_2005,Female,White,"Found 9 believed to be involved with 25disappearances",January 9th 1929,1st of 1,No,No,No,,Father and mother were both alcoholics,,No,,No,Yes,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Buried,Yes,Yes
Archer-Gilligan_Amy,Female,White,5-48,October 1873,n/a,Yes,No,No,,No,,,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Albright_Charles,Male,White,3,August 10,An adopted only child,Fairly so,No,No,,No,,No,No,No,No,,,None,Unknown,No torture,No,Yes,No,Not during the kill,"One source claims he removed the eyeballs to haveintercourse in the sockets. No other confirmation of this.",Yes,No,No,Yes,Yes – victims’ eyes,Not mentioned,No,No,No,No,Moved after murder and eye removal,No,,
Lee_Derrick_Todd__fall_2006_,Male,Black,7-10,11/05/1968,2nd of 4,Yes,No,No,,No,,Yes,Yes,Yes,Yes,,,Mildly retarded,Yes,No,Yes,No,No,No,Immediately after with 1-3 victims,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
McCullough_Patrick,,,3,,,Yes,Yes,Yes,,Yes,,Yes,No,Yes,Yes,,,"Was put on various medications and restraints. Upon his 18thbirthday",No,No,No,,,,,,,,,,,,,,,,,,
Ford_Wayne_Adam,Male,White,6 or more suspected,12/3/1961,Second of two,No,No,No,,No,,,,,,,,,Yes,"No - Inflicted pain the same way he did previous girlfriendsduring sex and the same things he wanted them to do to him butthey didn’t like it /Said that anything that looked torturous wasdone postmortem",Two,Two,No,Yes,He thinks so but couldn’t remember,Some,No,No,No,Once,No,No,No,No,No,Yes/ he threw them in the water,No,,
Francois_Kendall,Male,African American,Eight,July 26,2nd of 4 Children (Raquel,No,Overweight,None,,No psychological abuse reported,,None reported," or fire setting. Although common criteria islacking",No record of drug use or abuse,No record of alcohol use or abuse,,,None given,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,,Yes
Kraft_Randy__spring_2007_,Male,White,16,March 19,4th child (only son),Yes,No,No,,No records,,No,No,"Yes.  Valium to ward of stomach pains andmigraines. Used speed to lose weight",Alcohol,,,Medical  diagnosis - Hypoglycemia,No,Yes,No,No,Sometimes,Sometimes,No,No,No,No,No,No,Yes,No,No,No,No,"Yes pushed bodies out of car and dumped onhighway",No,No,No
Gerard_David_Allen,Male,White,11 suspected,11/23/1962,Unknown,No,No,No,,Allegedly by mother,,Unknown,Unknown,No,Yes,No,No,N/A,Unknown,Yes,Yes,No,No,No,Unknown,No,No,No,No,No,Unknown,Unknown,Yes,No,No,No,No,No,
Mudgett_Herman__2012_,Male,White,100+ suspected,05/16/1861,3rd,Yes,No,No,,No,,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,
Hoyt_Waneta,Female,White,5,May 13,6th of  8,Yes,No,No,,No,,No,No,No,No,No,No,N/A,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Jones_Jeremy__2008_spring_,Male,White,3,April 12,1 of 2,Yes,No,No,,No,,No,No,Yes,No,,,Attention Deficit Disorder,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lucas_Henry_Lee_-_2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaw_Sebastian,Male,Asian (Vietnamese),4 suspected,November 28th,1st (and only),Not physically attractive,None known,None known,,At age 7 in 1975 he escaped Vietnam.,,No,No,No,Yes,No,,,Yes,"Put  Todd Rudiger in the closet while he raped and killed DonnaFerguson (and then killed Todd)",No,Yes,Yes for some victims,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
Fisher_Lavinia__2012_,,N/A,2 suspected,1793/1791,John- 4th of 4,John- Tall,Lavinia - Knocked Knees,N/A,,N/A,,No,No,No,No,No,No,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/a,Yes,N/A,No,No,
Hilley_Marie__2012_,Female,White,1 confirmed,06/04/1933,1st,Yes.  Voted “Prettiest Girl” in high school.,No,No,,No,,Yes,No,No,No,No,No,,No,Not exactly,No,No,No,No,No,No,No,No,No,No,No,No,Died in hospital,No,No,No,No,No,
Russell_George_Waterfield_-_2005,Male,African American,3,April 1958,1st of 3,Yes,No,No,,Yes,,No,No,Yes,Yes,,,Antisocial Personality Disorder,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes (ring),Yes,Yes,No,No,Yes,No,No,No
Glatman_Harvey,Male,White,3─2 models and 1 “good girl”,December 10,Only child,No,None,None,,No,,None,None,No,No,,,"Diagnosed with different problems: Psychopathicpersonality",Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,The rope used to kill each woman,No,N/a,N/a,Buried all three in the desert,N/a,N/a,,N/a
Ridgway_Gary_-_2005,Male,White,48+,February 18,2nd of 3,No,No,No,,Yes,,Some while a child,Until age 13,N/A,N/A,,,N/A,Yes,N/A,N/A,N/A,N/A,Sometimes,Yes,N/A,No,No,Some,N/A,Jewelry and clothes,N/A,Some,N/A,Some,N/A,Some buried by themselves,N/A,N/A
Armstrong_John_Eric,Male,White,5,November 23,First,No,None,None,,Yes,,No,No,No,No,,,None,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,
Middleton_David,Male,Black,"1 rape (convicted) 2 murder (convicted) unknown of howmany all together",6/25/61,Unknown,Average,Distinctive Underbite,No,,No,,N/A,N/A,Yes,Yes,,,No,Yes,Yes,Yes,No,On abduction,Yes,Possibly,Some,No,No,Yes tied them in rope,No,Yes. Under garments,Yes,No,No,No,No,Yes,No,No
Cullen_Charles_-_spring_2006,Male,White,"Charged with 29-claims to have killed close to 40 but can’tremember names",February 22,8th of 8,Average,Unknown,Unknown,,Unknown,,Unknown,Unknown,No,Yes,,,"Major Depression; Alcohol Dependence; Acute AnxietyWife described him as a “borderline personality” but thisdiagnosis has not been confirmed",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
McGinnis_Virginia__2012_,Female,White,4 suspected,January,,No,No,No,,Yes,,Yes,Yes,N/A,N/A,N/A,No,Antisocial Behavior/Psychopath,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,
Kearney_Patrick__2012_,Male,White,32-43,Sept,First born,No,No,No,,By bullies a majority of his life,,No,No,No,No,No,No,None,Sodomize,Drained their blood,No,Yes,Yes,Yes,Sodomy,Drained their blood and cut the bodies up,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,
Warren_Lesley_Eugene__spring_2007_,Male,White,4 confirmed victims,October 15,1st of 2 (4 if include 1 step-brother and 1 half-brother),Average,None,None,,Never understood what he did wrong,,No,No,Heavily,Heavily,,,Conduct disorder,Some of the victims,Gray was severely beaten prior to death.,No,No,None,Bound the hands of one victim,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,Moved and attempted to hide,No,No
Erler_Bob_-_fall_2005,Male,Caucasian,1,,Oldest,Yes,No,No,,No information,,No information,No information,He abused pot,He attended Alcoholics Anonymous in prison,,,"The diagnosis (whileErler was in jail) from the psychologistsaid that Erler had a sociopathic personality",No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No
Eyler_Larry__fall_2007_,Male,White,23,December 21,Last of fourth,Yes,No,No,,Step-fathers teased him,,No,No,No,No,,,N/A,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,"Yes; victims were put in trash bags and thrown intodumpsters or dumped along the highway or aninconspicuous area",Yes,No
Berkowitz_David,Male,White,15 total,June 1,Second of 2,Neutral,Dragged feet when he walked.,No,,Father told him that he was a mistake.  Age 10,,Burned Bugs,Not documented,Used marijuana,No,,,Paranoid Schizophrenic,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Mullin_Herb,Male,White,13,April,2 of 2,Yes,No,No,,No,,Unknown,Unknown,Yes,Unknown,,,Schizophrenic,No,No,He stabbed victims after shooting them to death,No,No,No,No,Only Mary Guilfoyle,No,No,No,No,The rosary pouch of the Priest,No,Yes,No,No,One victim,No,No,No
Collins_John__fall_2007_,,,Convicted of 1,,3rd of 3,Yes,No,No,,Mother and stepfather would leave him and his siblings in the car for hours,,Yes,Yes,No,No,,,Necrophilia,Yes,Yes,Yes,Yes,?,,,,,,,,,,,,,,,,
Waterfield_Fred,Male,White,6 were killed,September 29,,Yes,No,No,,No,,No,No,Yes,Yes,,No,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,He put some victims in oil drums,No
Browne_Robert_Charles__2008_spring_,Male,White,8 (claims 48 to 49),October 31st,Youngest of  9,No,No,No,,"Childhood was succession of horrors and humiliations by oldersiblings and the mother condoned this.",,Yes,No,No,No,,,N/A,No,No,No,Yes,No,No,No,Yes in some cases,No,No,No,No,No,No,Yes,Yes,No,No,Moved,Yes,No
Fish_Albert__2008_spring_,Male,White,5-15,May 19,Youngest,Small,No,NA,,Teased,,N/A,N/A,NA,NA,,,Disturbed but sane,Yes,Yes,Yes,No,No,The boys he tied up in the closet,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Hid the bodies until he was done with them,No,,No
Heidnik_Gary_-_fall_2005,Male,White,6 total victims,November 1943,1 of 2,No,Yes,No,,Yes,,No,Yes,Claims that the Army ran tests on him using LSD,No,,,Schizophrenia; Schizoid Personality Disorder,Yes,Yes; beat,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Parts of the body,Parts of the body,Parts of the body,No,One of his victims,Yes,No
Gillis_Sean_Vincent,Male,White,8 (convicted of 3),June 24,Only Child,No,No,No,,No,,No,No,No,Yes,No,No,N/A,No,No,Yes,No,No,No,On one of his victims,Yes,A couple victims he ate his victims’ nipples.,No,Yes,On one of his victims,Yes,Yes,Only his first victim,No,No,Yes,No,,
Spahalski_Robert,Male,White,4,12/12/1954,1 of 2 (twins),No,No,No,,No,,Yes,No,Yes,No,No,None,None,No,No,No,Yes. Spahalski  mostly strangled his victims,No,No,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Schmid_Charles__spring_2007_,Male,White,3,July 8th,Adopted,No,No,No,,Possibly by his bad encounter with his birth mother.,,No,No,No,Yes,,,N/A,Does not say,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes (1st Victim),Yes (2nd and 3rd Victims),Partially (2nd and 3rd murders),No,No
Dunkle_Jon_Scott,Male,White,4 and 2 attempts,October 11,Unknown,No,No,No,,Yes,,,Unknown,Marijuana and LSD,Yes,,,Acute paranoia disorder,No,"Held first victim down and told him what he was going to doand third victim a board was placed over his eyes and hisclothes were taken off for humiliation",Yes for second victim,Yes,Board over 3rd victims eyes,No,No,No,No,No,No,No,No,no,,yes,,,,,
Burke_William__2008_spring_,Male,White,15,1792,Second (Youngest),Average,No,No,,No,,No,No,No,Yes,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Only in one murder – Jamie Wilson,Yes,No,No,No,No,No,No,
Hall_Roy_Archibald__2008_spring_,Male,White,5,June 17,First born,yes,Became seriously ill around 1950,no,,no,,no,no,"Claims to have stolen a doctor’s medical bag but disposedof it with no usage. Barbiturate suicide attempt in prison.",No,,,Psychopathic,No,Suffocation,No,Suffocated,No,no,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
Stano_Gerald,Male,White,41 (by confession),09/12/51,3rd of 4 (of original family,Not really,Nothing apparent,No,,"Neglect from birth mother including not changinghis diaper",,No,Yes,Yes,Yes,Examined after being fostered as an infant,No,,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Sometimes,Sometimes,No,sometimes,sometimes,,
Yates_Robert_Lee,Male,White,Suspected over 18 – Charged with 15,May 27,N/A,Yes,N/A,N/A,,Unusual Relationship with Dominating Mother,,No,No,Yes with prostitutes later in life,No,,,N/A,Yes,No,No,Yes,No but placed bags over head after death,No,Yes,No,No,No,No,No,Yes but never recovered,Yes,Yes,No,No,Yes,Yes,No,Yes
Bittaker_Lawrence__fall_2007_,Male,White,5 (Confirmed),09/27/1940,Only,No,No,No,,No,,No,No,Yes,Yes,,,N/A,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No. Did audio record the rape/killing and take pictures,No,No,No,No,Yes,No,No,No
Corona_Juan_-_fall_20051,Male,Hispanic,25,1934,,,No,,,,,,,,Yes,,,Schizophrenic,Sexually molested male victims,,,,Some victim’s faces were covered by their shirts.,,,,,,"Their shirts were pulled up over their face and arms and pantswere either pulled down or they were pant less.",,,,,,,,Buried on neighboring farms near workplace/homeplace,Cut,
